ts,interval,symbol,open,high,low,close,volume,delta,delta_250k_geq,delta_166k_to_250k,delta_86k_to_166k,delta_50k_to_86k,delta_26k_to_50k,delta_11k_to_26k,delta_11k_lt
2016-08-10 00:00:00,1d,XBTUSD,582.81,602.07,579.87,588.98,2640793,220245,0,0,0,0,0,325337,-105092
2016-08-11 00:00:00,1d,XBTUSD,589.56,597.83,584.1,584.77,1462216,-64666,0,0,0,0,0,-10800,-53866
2016-08-12 00:00:00,1d,XBTUSD,584.8,588.88,578.51,586.7,2097913,223581,0,0,0,0,0,142978,80603
2016-08-13 00:00:00,1d,XBTUSD,585.49,588.95,581.08,583.14,808474,-100096,0,0,0,0,0,-47223,-52873
2016-08-14 00:00:00,1d,XBTUSD,583.84,583.85,556.26,567.9,2953768,-139018,0,0,0,0,0,82481,-221499
2016-08-15 00:00:00,1d,XBTUSD,566.96,573,557.55,566.03,2308854,-281458,0,0,0,0,-29902,-139367,-112189
2016-08-16 00:00:00,1d,XBTUSD,565.89,581,564.89,574,1962549,262817,0,0,0,0,-39500,98497,203820
2016-08-17 00:00:00,1d,XBTUSD,574.11,576.21,566.96,570.85,671403,55679,0,0,0,0,0,7984,47695
2016-08-18 00:00:00,1d,XBTUSD,570.91,576.91,569.94,571.45,1521188,404150,0,0,0,50000,60000,235200,58950
2016-08-19 00:00:00,1d,XBTUSD,571.34,574.52,563.54,572.45,1099687,-172009,0,0,0,0,0,-40239,-131770
2016-08-20 00:00:00,1d,XBTUSD,572.45,582.24,572,580.23,1069522,-1846,0,0,0,-51381,0,-63058,112593
2016-08-21 00:00:00,1d,XBTUSD,579.33,584.11,577.81,578.96,679455,-134157,0,0,0,0,0,-71600,-62557
2016-08-22 00:00:00,1d,XBTUSD,578.96,588.6,578.03,584.93,1138901,142251,0,0,0,0,0,58436,83815
2016-08-23 00:00:00,1d,XBTUSD,584.51,587.3,575.82,580.53,904556,-129762,0,0,0,0,0,45546,-175308
2016-08-24 00:00:00,1d,XBTUSD,580.26,581.66,574.38,576.12,1062312,-108942,0,0,99000,0,-47512,-39943,-120487
2016-08-25 00:00:00,1d,XBTUSD,576.62,579.2,569.59,576.81,1089796,80414,0,0,0,0,0,-9650,90064
2016-08-26 00:00:00,1d,XBTUSD,577.1,578.32,575.14,576.57,517379,24837,0,0,0,0,0,46000,-21163
2016-08-27 00:00:00,1d,XBTUSD,577.25,577.48,562.32,567.19,890705,-37787,0,0,0,0,0,26223,-64010
2016-08-28 00:00:00,1d,XBTUSD,567.82,572.63,566.07,572.22,639407,87985,0,0,0,0,0,46500,41485
2016-08-29 00:00:00,1d,XBTUSD,572.79,576.57,570.4,571.99,405639,26061,0,0,0,0,0,26720,-659
2016-08-30 00:00:00,1d,XBTUSD,572.08,578.73,571.49,576.91,1060538,-232150,0,0,0,0,0,-152649,-79501
2016-08-31 00:00:00,1d,XBTUSD,577.28,577.88,571.48,573.45,543227,-120693,0,0,0,0,0,-39929,-80764
2016-09-01 00:00:00,1d,XBTUSD,573.23,574.65,568.23,569.23,402378,-48118,0,0,0,0,0,27750,-75868
2016-09-02 00:00:00,1d,XBTUSD,569.01,575.49,563.54,575.44,1093275,79353,0,0,0,0,0,-34705,114058
2016-09-03 00:00:00,1d,XBTUSD,575.47,605.41,571.96,596.34,2754844,-497424,0,0,0,0,-71999,-619262,193837
2016-09-04 00:00:00,1d,XBTUSD,597,614.12,594.05,610.84,3190670,321118,0,0,0,-50000,-26402,133414,264106
2016-09-05 00:00:00,1d,XBTUSD,610.5,610.96,599.08,608.04,1415341,-5117,0,0,0,0,0,-65002,59885
2016-09-06 00:00:00,1d,XBTUSD,606.94,611.89,603.29,609.94,1263034,40552,0,0,0,0,0,-19021,59573
2016-09-07 00:00:00,1d,XBTUSD,610.22,614.39,606.18,613.2,1917428,16936,0,0,0,0,-30000,-41083,88019
2016-09-08 00:00:00,1d,XBTUSD,612.97,631.54,610.91,625.19,2856334,239166,0,0,0,0,0,131066,108100
2016-09-09 00:00:00,1d,XBTUSD,625.58,627.25,615.54,622.28,1790037,-360573,0,0,0,0,0,-269492,-91081
2016-09-10 00:00:00,1d,XBTUSD,622.72,625.21,621.26,622.63,840485,60523,0,0,0,0,0,-29076,89599
2016-09-11 00:00:00,1d,XBTUSD,622.62,632.01,586.41,603.3,4137372,673650,0,0,90010,150000,249248,171809,12583
2016-09-12 00:00:00,1d,XBTUSD,603.77,606.92,599,606.23,2041191,45779,0,0,0,0,-83641,77774,51646
2016-09-13 00:00:00,1d,XBTUSD,605.89,608.93,602.78,605.46,1057732,128842,0,0,0,0,0,96036,32806
2016-09-14 00:00:00,1d,XBTUSD,605.46,608,604.18,607.6,493421,87145,0,0,0,0,0,60950,26195
2016-09-15 00:00:00,1d,XBTUSD,607.33,607.62,601.69,605.02,424104,23282,0,0,0,0,0,67475,-44193
2016-09-16 00:00:00,1d,XBTUSD,605.02,610,597.04,604.91,1858554,-193400,0,0,0,0,32999,-167755,-58644
2016-09-17 00:00:00,1d,XBTUSD,605.5,605.56,601.46,604.19,395907,67139,0,0,0,0,0,34824,32315
2016-09-18 00:00:00,1d,XBTUSD,604.25,608.8,603.58,607.99,337130,101414,0,0,0,0,0,14800,86614
2016-09-19 00:00:00,1d,XBTUSD,607.99,609.63,604.08,607.26,641488,-86486,0,0,0,0,0,-78375,-8111
2016-09-20 00:00:00,1d,XBTUSD,607.26,608.83,593.91,595.59,842449,-275335,0,0,0,-52564,0,-191786,-30985
2016-09-21 00:00:00,1d,XBTUSD,592.27,596,580.53,594.58,2047206,439508,0,0,0,0,140689,124898,173921
2016-09-22 00:00:00,1d,XBTUSD,594.45,596.5,593.06,594.39,704756,51592,0,0,0,0,0,18298,33294
2016-09-23 00:00:00,1d,XBTUSD,594.11,606.4,591.6,600.57,1295341,527395,0,0,0,0,27062,188995,311338
2016-09-24 00:00:00,1d,XBTUSD,600.48,603.01,598.6,599.87,409338,109188,0,0,0,0,0,58868,50320
2016-09-25 00:00:00,1d,XBTUSD,600.59,601.11,595.23,598.71,365891,-33077,0,0,0,0,0,15000,-48077
